Purchased Date,School Year Purchased,Agency Name,LEAID,Technology,Purchase Description,Total Cost,Notes,Comment
2/9/18,2017-2018,Alvin Independent School District,4808090,Gaggle,GAGGLE SAFETY MANAGEMENT SAFETY AUDIT 1700,"$4,995 ",Says they never used the service. ,""" My name is Renae Rives and I'm the director of communications for Alvin ISD, and I was calling you back in response to your Gaggle, your story on Gaggle. We actually never went with Gaggle, we never used it. They came and did a presentation for us, but that's all they did. And we decided that it just didn't meet our learning objectives and what we need for the district. But so we, we actually never had them."""
9/10/15,2015-2016,Alvord Independent School District,4808100,Gaggle,FILTER,"$3,596 ",,
9/15/16,2016-2017,Alvord Independent School District,4808100,Gaggle,Email Filtering,"$2,888 ",,
10/5/17,2017-2018,Alvord Independent School District,4808100,Gaggle,STUDENT EMAIL FILTERIN,"$2,970 ",,
9/14/18,2018-2019,Alvord Independent School District,4808100,Gaggle,Student Filtering,"$2,970 ",,
9/16/19,2019-2020,Alvord Independent School District,4808100,Gaggle,Safety Management Software,"$5,323 ",,
9/18/19,2019-2020,Alvord Independent School District,4808100,Gaggle,Safety Management Software,"$5,323 ",,
9/17/20,2020-2021,Alvord Independent School District,4808100,Gaggle,Google Safety Management,"$6,162.50 ",,
1/17/19,2018-2019,Anna Independent School District,4808340,Go Guardian,AHS GO GUARDIAN,$105 ,,
2/29/16,2015-2016,Anson Independent School District,4808400,Go Guardian,GOOGLE GO GUARDIAN-H,$114.10 ,,
1/31/17,2016-2017,Anson Independent School District,4808400,Go Guardian,10 GO GUARDIAN,$124.40 ,,
11/14/17,2017-2018,Apple Springs ISD,4808490,Go Guardian,GO GUARDIAN,$635 ,Just a web filter. Said the cost is off.,View the full comment here: https://app.trint.com/public/6623dbce-7ddb-4ee8-86e4-55866556a85a.
10/31/18,2018-2019,Apple Springs ISD,4808490,Go Guardian,GO GUARDIAN TEACHER/,$635 ,,View the full comment here: https://app.trint.com/public/6623dbce-7ddb-4ee8-86e4-55866556a85a.
4/3/17,2016-2017,Argyle Independent School District,4808670,Gaggle,Gaggle Filtering,"$2,790 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
9/1/17,2017-2018,Argyle Independent School District,4808670,Gaggle,gaggle email filtering / alert,"$10,725 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
1/17/18,2017-2018,Argyle Independent School District,4808670,Gaggle,invoice 35093 / student growthItem Discount = .00; Item.Freight = .00,"$1,843 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
9/4/18,2018-2019,Argyle Independent School District,4808670,Gaggle,Gaggle Drive + Email renewalItem Discount = .00; Item.Freight = .00,"$13,943 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
9/9/20,2020-2021,Argyle Independent School District,4808670,Gaggle,Gaggle Student Filtering Email and Drive filtering.Item Discount = .00; Item.Freight = .00,"$20,377.50 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
9/23/20,2020-2021,Argyle Independent School District,4808670,Go Guardian,Go Guardian license Quote LQMK249Item Discount = .00; Item.Freight = .00,"$4,901.18 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
9/7/18,2018-2019,Arp ISD,4808730,Securly,License Remote Student Filter,"$1,200 ",,
9/17/19,2019-2020,Arp ISD,4808730,Securly,Remote URL filter,"$1,200 ",,
9/9/20,2020-2021,Arp ISD,4808730,Securly,FILTER FOR REMOTE LEARNING 1 YEAR,"$1,200 ",,
10/19/20,2020-2021,Atlanta Independent School District,4807440,Securly,securly Anywhere 1 yr,"$6,398 ",,
11/15/19,2019-2020,Austin ISD,4808880,Go Guardian,Go guardian for Teachers - sub GO GUARDIAN SOFTWARE,"$1,066.80 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? In our continued efforts to keep our students safe, AISD purchased content monitoring software, GoGuardian and Gaggle, without any instigating incidents.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.)
On district-owned technological devices, GoGuardian software proactively identifies students at risk of self-harm. Gaggle is another student safety solution that is used to filter and monitor safe learning online. Students use Google products for Education, issued by AISD, consisting of Gmail, Meet, Calendar, Drive for storage, Docs, Sheets, Slides, Forms and Sites such as Canvas.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes, we still use this technology because we find great value in both systems. We respond to students efficiently based on unsafe keywords that Gaggle and GoGuardian use to alert the Threat Assessment Coordinator. Both products have the ability to prioritize student needs by alert levels. The Threat Assessment Coordinator receives alerts for students that are both virtual and in-person. Alerts consist of drugs and alcohol, harassment, nudity, self-harm, and violence towards others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
The technology is used with all students in the District.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?
Parents received a copy of AISD ‘s Gaggle and GoGuardian Policy, as well as the Acceptable Usage Policy, outlining appropriate usage. A series of online community meetings were held throughout last year to inform parents and community members about the District’s monitoring policy. Students nor parents could “opt-out” of monitoring student’s activity on district-issued technology devices or while logged into their district issued Google account.
What policies did/do you have in place specifically governing the use of this technology by District officials?
Please see the below documents and Links:
    - Acceptable Use Policy (AUP)
    - Normas de Usa Aceptable (AUP)
    - Children's Internet Protection Act (CIPA)
    - Internet Safety Plan for Austin ISD
    - FFH Board Policy
    - FFI Board Policy
    - Gaggle/GoGuardian
Who all has/had access to reports/alerts generated by this technology?
The Threat Assessment Coordinator, AISD Police Department, Principals, Assistant Principals, Professional School Counselors, and Licensed Mental Health Professionals.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm?
We have seen a strong impact of these tools to protect our students. However, due to the sensitive nature of the incidents and for student privacy, we are unable to share information related to these events.""  -Cristina Nguyen, Senior Communications Sepcialist"
4/7/20,2019-2020,Austin ISD,4808940,Gaggle,GAGGLE SOFTWARE Gaggle Safety Mgmt for Google,"$221,895 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? In our continued efforts to keep our students safe, AISD purchased content monitoring software, GoGuardian and Gaggle, without any instigating incidents.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.)
On district-owned technological devices, GoGuardian software proactively identifies students at risk of self-harm. Gaggle is another student safety solution that is used to filter and monitor safe learning online. Students use Google products for Education, issued by AISD, consisting of Gmail, Meet, Calendar, Drive for storage, Docs, Sheets, Slides, Forms and Sites such as Canvas.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes, we still use this technology because we find great value in both systems. We respond to students efficiently based on unsafe keywords that Gaggle and GoGuardian use to alert the Threat Assessment Coordinator. Both products have the ability to prioritize student needs by alert levels. The Threat Assessment Coordinator receives alerts for students that are both virtual and in-person. Alerts consist of drugs and alcohol, harassment, nudity, self-harm, and violence towards others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
The technology is used with all students in the District.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?
Parents received a copy of AISD ‘s Gaggle and GoGuardian Policy, as well as the Acceptable Usage Policy, outlining appropriate usage. A series of online community meetings were held throughout last year to inform parents and community members about the District’s monitoring policy. Students nor parents could “opt-out” of monitoring student’s activity on district-issued technology devices or while logged into their district issued Google account.
What policies did/do you have in place specifically governing the use of this technology by District officials?
Please see the below documents and Links:
    - Acceptable Use Policy (AUP)
    - Normas de Usa Aceptable (AUP)
    - Children's Internet Protection Act (CIPA)
    - Internet Safety Plan for Austin ISD
    - FFH Board Policy
    - FFI Board Policy
    - Gaggle/GoGuardian
Who all has/had access to reports/alerts generated by this technology?
The Threat Assessment Coordinator, AISD Police Department, Principals, Assistant Principals, Professional School Counselors, and Licensed Mental Health Professionals.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm?
We have seen a strong impact of these tools to protect our students. However, due to the sensitive nature of the incidents and for student privacy, we are unable to share information related to these events.""  -Cristina Nguyen, Senior Communications Sepcialist"
9/4/19,2019-2020,Baird Independent School District,4808940,Go Guardian,GO GUARDIAN,"$3,990.25 ",Pretty sure was just used as a web filter. ,View the full comment here: https://app.trint.com/public/e351f8ae-512a-4372-817c-2df1ae857e2c.
10/8/15,2015-2016,Bastrop Independent School District,4809570,Gaggle,Gaggle renewal - Archiving emails,"$15,650 ",,
9/1/16,2016-2017,Bastrop Independent School District,4809570,Gaggle,ITS Migration to Google Vault,"$13,845 ",,
4/9/20,2019-2020,Bastrop Independent School District,4809570,Gaggle,SERVICE: SET UP FEES FOR SUPPLIES:ITS Archiving Google Drive - Staff,$750 ,,
4/9/20,2019-2020,Bastrop Independent School District,4809570,Gaggle,SUPPLIES:ITS Archiving Google Drive - Staff,"$2,087.50 ",,
8/27/20,2020-2021,Bastrop Independent School District,4809570,Gaggle,SUPPLIES: ITS GAGGLE Archiving Google Drive staff Renewal LICENSE YEAR 1 OF CONTRACT,"$8,500 ",,
11/19/20,2020-2021,Bastrop Independent School District,4809570,Go Guardian,FEES: ITS GO GUARDIAN TEACHER - SUBSCRIPTION 1YR,$665 ,,
3/4/21,2020-2021,Bastrop Independent School District,4809570,Go Guardian,SUPPLIES: BMS Go Guardian SR#20161,$640 ,,
2/25/20,2019-2020,Beaumont Independent School District,4809670,Gaggle,Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605** Professional Development Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605**,"$4,995 ",Is posted on the district's website on the technology page. ,
2/25/20,2019-2020,Beaumont Independent School District,4809670,Gaggle,Gaggle Safety Management for Google Drive - Students,"$34,737.50 ",,
2/25/20,2019-2020,Beaumont Independent School District,4809670,Gaggle,Gaggle Safety Management for Google - Student (Email and Drive) Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605**,"$46,053 ",,
2/25/20,2019-2020,Beaumont Independent School District,4809670,Gaggle,One Time Setup Fee Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item). **QUOTE #: 50605**,"$3,000 ",,
10/7/20,2020-2021,Beaumont Independent School District,4809670,Gaggle,"Gaggle Safety Management for Google - Student Pricing Term: 12 Month Annual Service Term: 2020-10-01 - 2021-09-30 Contract End Date: 2022-09-30 Valid Through: 01/01/2021 ""Gaggle was chosen based on its ability to best fulfill the district's needs for a campus safety platform as we work to expand our 1:1"" **QUOTE #: 51238**","$94,500 ",,
12/5/19,2019-2020,Birdville Independent School District,4810230,Go Guardian,4159244 Go Guardian for Teachers 1 year license,$213 ,,
12/5/19,2019-2020,Birdville Independent School District,4810230,Go Guardian,4159118 Go Guardian for Administrators 1 year license,$213 ,,
9/16/20,2020-2021,Blooming Grove Independent School District,4810470,Gaggle,GAGGLE SAFETY MANAGEMENT,"$3,750 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21. 
2/19/20,2019-2020,Bosqueville Independent School District,4810910,Go Guardian,Go Guardian Filter,"$1,800 ",,
7/22/20,2020-2021,Bosqueville Independent School District,4810910,Go Guardian,Go Guardian Filter,"$8,422.70 ",,
9/14/20,2020-2021,Bosqueville Independent School District,4810910,Go Guardian,Go Guardian Filter,"$1,520 ",,
9/27/18,2018-2019,Brazosport Independent School District,4811190,Social Sentinel,Social Sentinel Command Center Software Services Annual Period 1 (8/1/18 to 7/31/19),"$18,500 ",,
1/30/19,2018-2019,Brazosport Independent School District,4811190,Go Guardian,Go Guardian for teachers subscription license 1 yr 1-499,$636 ,,
2/3/17,2016-2017,Bremond Independent School District,4811250,Go Guardian,Go Guardian Chromebook M,"$4,778.34 ",,
2/20/18,2017-2018,Bridge City ISD,4811310,Gaggle,PO Created by Req: 783090,"$6,900 ",,
2/19/19,2018-2019,Bridge City ISD,4811310,Gaggle,PO Created by Req: 793066,"$4,200 ",,
2/18/20,2019-2020,Bridge City ISD,4811310,Gaggle,PO Created by Req: 703128,"$4,480 ",,
12/2/20,2020-2021,Bridge City ISD,4811310,Gaggle,PO Created by Req: 710951,"$4,680 ",,
8/19/15,2015-2016,Bridgeport ISD,4811340,Gaggle,SAFETY MANAGEMENT,"$5,600 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
6/26/16,2016-2017,Bridgeport ISD,4811340,Gaggle,SAFETY MGMT FOR GOOGLE,"$4,200 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
4/28/17,2016-2017,Bridgeport ISD,4811340,Gaggle,12 MONTH GAGGLE SUBSCRIPTION SERVICE TERM 07/01/17 0 06/30/2018,"$4,410 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
7/26/17,2017-2018,Bridgeport ISD,4811340,Gaggle,SAFETY MANAGEMENT EMAIL,"$1,750 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
5/24/18,2017-2018,Bridgeport ISD,4811340,Gaggle,SOFTWARE LICENSE,"$6,475 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
10/8/19,2019-2020,Bridgeport ISD,4811340,Gaggle,SOFTWARE LIC - GAGGLE,"$5,600 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
10/9/20,2020-2021,Bridgeport ISD,4811340,Gaggle,STUDENT EMAIL MANAGEMENT,"$5,600 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
10/26/17,2017-2018,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
10/26/17,2017-2018,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
10/26/17,2017-2018,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
1/30/18,2017-2018,Brooks County ISD,4811580,Gaggle,Gaggle Safety Management Licen,$900 ,,
11/2/18,2018-2019,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT,"$4,230 ",,
11/2/18,2018-2019,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT-,"$2,115 ",,
11/2/18,2018-2019,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT,"$1,500 ",,
10/30/19,2019-2020,Brooks County ISD,4811580,Gaggle,PO Created by Req: 033170,"$7,095 ",,
2/26/21,2020-2021,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT HANDOUTS,"$2,355 ",,
2/26/21,2020-2021,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT,"$1,125 ",,
2/26/21,2020-2021,Brooks County ISD,4811580,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE DRIVE & EMAIL,"$4,710 ",,
2/15/19,2018-2019,Brownfield Independent School District #901,4811610,Social Sentinel,REGION 17 EDUCATION SERVICE CENTER ENROLLMENT - SOCIAL SENTINEL SOFTWARE,"$2,373.30 ",,
2/11/20,2019-2020,Brownfield Independent School District #901,4811610,Social Sentinel,REGION 17 EDUCATION SERVICE CENTER ENROLLMENT - SOCIAL SENTINEL SOFTWARE,"$2,373.30 ",,
12/13/18,2018-2019,Bruceville-Eddy Independent School District,4811730,Securly,Securly Anywhere Filtering 3 year subscription,"$3,154.50 ",,
9/15/20,2020-2021,Buna Independent School District,4807440,Go Guardian,Go Guardian Suite,"$12,630 ",,
7/15/19,2019-2020,Burleson Independent School District,4812180,Social Sentinel,ANNL-DATA-NE SOCIAL SENTINEL ANNUAL DATA FEE Coverage Dates: 01-AUG-2019 -,"$2,970 ",,
7/15/19,2019-2020,Burleson Independent School District,4812180,Social Sentinel,ANNL-SVC-NE SOCIAL SENTINEL ANNUAL SERVICE Coverage Dates: 01-AUG-2019 -,"$15,345 ",,
10/5/20,2020-2021,Burleson Independent School District,4812180,Social Sentinel,SSI-DF SOCIAL SENTINEL - SOCIAL MEDIA SCANNING - DATA FEE Coverage Dates:,"$2,970 ",,
10/5/20,2020-2021,Burleson Independent School District,4812180,Social Sentinel,ANNL-SVC SOCIAL SENTINEL ANNUAL SERVICE SOCIAL MEDIA SCANNING - SERVICE FEE,"$15,345 ",,
10/2/19,2019-2020,Caddo Mills Independent School District,4812390,Go Guardian,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
10/2/19,2019-2020,Caddo Mills Independent School District,4812390,Go Guardian,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
10/2/19,2019-2020,Caddo Mills Independent School District,4812390,Go Guardian,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
10/2/19,2019-2020,Caddo Mills Independent School District,4812390,Go Guardian,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
9/3/20,2020-2021,Calhoun County Independent School District,4812480,Go Guardian,GO GUARDIAN RENEWAL,"$22,622.80 ",,
12/10/18,2018-2019,Cameron Independent School District,4812640,Social Sentinel,SOCIAL SENTINEL,"$2,781 ",,
8/27/20,2020-2021,Carroll Independent School District,4813020,Social Sentinel,DIRECT PAY: For the use of social sentinel services for the 19-20 school,"$12,547.50 ",,"""I have reviewed your questions and asked around to find who may know about this. What I have been told is that this was a partnership with the City of Southlake but we never used it. I don’t know if this really helps you or not, but we are unable to answer anything specific since we are all new to the district."""
7/12/16,2016-2017,Carrollton-Farmers Branch ISD,4813050,Securly,Securly Anywhere Filtering - Screen Analytics for Social Media - Bullying/Self-Harm Sentiment Detection - Technical Support - Product Updates - Base Parent Portal Feature - Deployment assistance and training,"$16,200 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology?  The Safety and Security team and Counseling Department wanted to take a proactive, preventative approach to the overall wellness of students and keeping children safe. Gaggle is one of the providers of preventative services that allow districts to be alerted to written statements made by students which indicate they are at risk.   There was no specific instigating incident that made the team purchase technology.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Securely (sic) is used as a mobile device management platform. We utilize it to manage the application and settings on all district iPads, and provide teachers with a classroom management tool. They have the ability to lock student devices to either be disabled or restricted to a certain website during class. This functionality is disabled outside of school hours. Gaggle is utilized to monitor CFB issued student email or Google Drive accounts and send alerts based on certain types of content, such as pornography, or treats of violence or self-harm.    
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Yes. It continues to alert us to students at risk of imminent harm.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? All students only
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Designated staff monitor social media.  We also use Meltwater services as a monitoring device.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Yes. Notification of monitoring is in the CFBISD Student Responsible Technology Use Guidelines. Parents agree to this form when enrolling their student each year.  The only opt out available, is an opt out of using district technology altogether.
What policies did/do you have in place specifically governing the use of this technology by District officials? CQ (Local) and CQ (Legal) FFF (Legal and Local) FFEB (Legal)FFB (Legal)FFH (Legal and Local)Student Handbook (pages 46-47)
Who all has/had access to reports/alerts generated by this technology? Gaggle: The District Gaggle Team, a subgroup of the District Threat Assessment Team, as members of the Safe and Supportive Schools Program receive Gaggle alerts.  Processes are in place to coordinate the appropriate response based on the type of Gaggle alert and the content reported. 
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? There have been multiple incidents in which students at risk have been identified and imminent self-harm was avoided.  Incidents include letters with students saying good-bye to loved ones with plans to take one’s life, detailed plans of minors to run away and meet individuals they have met online, and plans to self-injure.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? Gaggle: We use this technology to manage the student accounts and data through filters programmed to check data against certain key words in order to identify possible signs of suicide ideation, self-harm, harm to others, signs of depression, exploitation, bullying, and inappropriate content that is in violation of the student use of technology agreement. This is in an effort to align the in-person school safety culture with the online learning environment.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. Students who are found in possession of inappropriate content on their district technology or accounts are referred to campus administrators for appropriate disciplinary procedures aligned with district policies."" - Dawn Parnell, Chief Communications Officer"
8/9/16,2016-2017,Carrollton-Farmers Branch ISD,4813050,Gaggle,Gaggle Safety Management for Google-Student 7/1/2016-6/30/2017 Service Dates,"$93,750 ",,
6/6/17,2016-2017,Carrollton-Farmers Branch ISD,4813050,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENTS,"$93,750 ",,
6/19/18,2018-2019,Carrollton-Farmers Branch ISD,4813050,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENT (DRIVE + EMAIL) GAGGLE SAFETY MANAGEMENT FOR CANVAS ONE TIME SETUP FEE (CANVAS),"$93,750 ",,
6/20/19,2019-2020,Carrollton-Farmers Branch ISD,4813050,Gaggle,GAGGLE SAFETY MANAGEMENT FOR CANVAS,"$14,000 ",,
6/20/19,2019-2020,Carrollton-Farmers Branch ISD,4813050,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENT (DRIVE + EMAIL),"$93,750 ",,
9/4/19,2019-2020,Carrollton-Farmers Branch ISD,4813050,Securly,"TECHPILOT LABS/SECURLY CHROMEBOOK CLASSROOM MANAGEMENT TOOL (CHROMETOOLS), 1 YEAR SUBSCRIPTION - MFR # CHT-20K-39999-1Y","$45,760 ",,
12/12/19,2019-2020,Carrollton-Farmers Branch ISD,4813050,Securly,"TECHPILOT LABS/SECURLY CHROMEBOOK CLASSROOM MANAGEMENT TOOL (CHROMETOOLS), 9 MONTH SUBSCRIPTION TO CO-TERM WITH LICENSES PURCHASED IN SEPTEMBER 2019 - MFR # CHT-2.5K-4999-9M","$4,680 ",,
6/9/20,2019-2020,Carrollton-Farmers Branch ISD,4813050,Gaggle,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENT (DRIVE + EMAIL),"$100,000 ",,
8/11/20,2020-2021,Carrollton-Farmers Branch ISD,4813050,Securly,"TECHPILOT LABS (SECURLY) CHROMEBOOK CLASSROOM MANAGEMENT TOOL (CHROMETOOLS) - MFR # CHT-20K-39999-1Y SUBSCRIPTION TERM: SEPTEMBER 1, 2020 THROUGH SEPTEMBER 30, 2021","$49,000 ",,
8/11/20,2020-2021,Carrollton-Farmers Branch ISD,4813050,Securly,"TECHPILOT LABS (SECURLY) SCHOOLMDM MOBILE DEVICE MANAGEMENT TOOL FOR IPADS - MFR # MDM-10K-19999-1Y SUBSCRIPTION TERM: AUGUST 10, 2020 THROUGH SEPTEMBER 30, 2021","$30,800 ",,
