DistrictName,SchoolYearPurchased,Technology,NumberStudents,PurchasedDate,PurchaseDescription,TotalCost,Notes,Comment
ARGYLE ISD,2018-2019,Gaggle,3061,9/4/18,Gaggle Drive + Email renewalItem Discount = .00; Item.Freight = .00,"$13,943 ",,"""Argyle ISD purchased this technology to utilize as a safety precaution when students are using district-issued technology. There was not an instigating incident that led the district to purchase this technology. 

Argyle ISD utilizes Gaggle and Go Guardian. This technology helps Argyle ISD effectively monitor district-issued technology and has the capability of alerting the district of any safety concerns.

The policies are covered under Argyle ISD's Access and Responsible Use Policy."" -Rick Herrin, Director of Communiations"
ARP ISD,2018-2019,Securly,869,9/7/18,License Remote Student Filter,"$1,200 ",,
ARP ISD,2019-2020,Securly,889,9/17/19,Remote URL filter,"$1,200 ",,
AUSTIN ISD,2019-2020,Go Guardian,80911,11/15/19,Go guardian for Teachers - sub GO GUARDIAN SOFTWARE,"$1,066.80 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? In our continued efforts to keep our students safe, AISD purchased content monitoring software, GoGuardian and Gaggle, without any instigating incidents.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.)
On district-owned technological devices, GoGuardian software proactively identifies students at risk of self-harm. Gaggle is another student safety solution that is used to filter and monitor safe learning online. Students use Google products for Education, issued by AISD, consisting of Gmail, Meet, Calendar, Drive for storage, Docs, Sheets, Slides, Forms and Sites such as Canvas.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes, we still use this technology because we find great value in both systems. We respond to students efficiently based on unsafe keywords that Gaggle and GoGuardian use to alert the Threat Assessment Coordinator. Both products have the ability to prioritize student needs by alert levels. The Threat Assessment Coordinator receives alerts for students that are both virtual and in-person. Alerts consist of drugs and alcohol, harassment, nudity, self-harm, and violence towards others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
The technology is used with all students in the District.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?
Parents received a copy of AISD ‚Äòs Gaggle and GoGuardian Policy, as well as the Acceptable Usage Policy, outlining appropriate usage. A series of online community meetings were held throughout last year to inform parents and community members about the District‚'s monitoring policy. Students nor parents could ‚Äúopt-out‚Äù of monitoring student‚'s activity on district-issued technology devices or while logged into their district issued Google account.
What policies did/do you have in place specifically governing the use of this technology by District officials?
Please see the below documents and Links:
    - Acceptable Use Policy (AUP)
    - Normas de Usa Aceptable (AUP)
    - Children's Internet Protection Act (CIPA)
    - Internet Safety Plan for Austin ISD
    - FFH Board Policy
    - FFI Board Policy
    - Gaggle/GoGuardian
Who all has/had access to reports/alerts generated by this technology?
The Threat Assessment Coordinator, AISD Police Department, Principals, Assistant Principals, Professional School Counselors, and Licensed Mental Health Professionals.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm?
We have seen a strong impact of these tools to protect our students. However, due to the sensitive nature of the incidents and for student privacy, we are unable to share information related to these events.""  -Cristina Nguyen, Senior Communications Sepcialist"
AUSTIN ISD,2019-2020,Gaggle,80911,4/7/20,GAGGLE SOFTWARE Gaggle Safety Mgmt for Google,"$221,895 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology? In our continued efforts to keep our students safe, AISD purchased content monitoring software, GoGuardian and Gaggle, without any instigating incidents.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.)
On district-owned technological devices, GoGuardian software proactively identifies students at risk of self-harm. Gaggle is another student safety solution that is used to filter and monitor safe learning online. Students use Google products for Education, issued by AISD, consisting of Gmail, Meet, Calendar, Drive for storage, Docs, Sheets, Slides, Forms and Sites such as Canvas.
Do you still use this technology? If not, why did you stop? If so, why is it still worth it?
Yes, we still use this technology because we find great value in both systems. We respond to students efficiently based on unsafe keywords that Gaggle and GoGuardian use to alert the Threat Assessment Coordinator. Both products have the ability to prioritize student needs by alert levels. The Threat Assessment Coordinator receives alerts for students that are both virtual and in-person. Alerts consist of drugs and alcohol, harassment, nudity, self-harm, and violence towards others.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members?
The technology is used with all students in the District.
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email?
No.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""?
Parents received a copy of AISD ‚Äòs Gaggle and GoGuardian Policy, as well as the Acceptable Usage Policy, outlining appropriate usage. A series of online community meetings were held throughout last year to inform parents and community members about the District‚'s monitoring policy. Students nor parents could ‚Äúopt-out‚Äù of monitoring student‚'s activity on district-issued technology devices or while logged into their district issued Google account.
What policies did/do you have in place specifically governing the use of this technology by District officials?
Please see the below documents and Links:
    - Acceptable Use Policy (AUP)
    - Normas de Usa Aceptable (AUP)
    - Children's Internet Protection Act (CIPA)
    - Internet Safety Plan for Austin ISD
    - FFH Board Policy
    - FFI Board Policy
    - Gaggle/GoGuardian
Who all has/had access to reports/alerts generated by this technology?
The Threat Assessment Coordinator, AISD Police Department, Principals, Assistant Principals, Professional School Counselors, and Licensed Mental Health Professionals.
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm?
We have seen a strong impact of these tools to protect our students. However, due to the sensitive nature of the incidents and for student privacy, we are unable to share information related to these events.""  -Cristina Nguyen, Senior Communications Sepcialist"
BAIRD ISD,2019-2020,Go Guardian,279,9/4/19,GO GUARDIAN,"$3,990.25 ",Pretty sure was just used as a web filter.,View the full comment here: https://app.trint.com/public/e351f8ae-512a-4372-817c-2df1ae857e2c.
BASTROP ISD,2015-2016,Gaggle,10278,10/8/15,Gaggle renewal - Archiving emails,"$15,650 ",,
BASTROP ISD,2016-2017,Gaggle,10539,9/1/16,ITS Migration to Google Vault,"$13,845 ",,
BASTROP ISD,2019-2020,Gaggle,11434,4/9/20,SERVICE: SET UP FEES FOR SUPPLIES:ITS Archiving Google Drive - Staff,$750 ,,
BASTROP ISD,2019-2020,Gaggle,11434,4/9/20,SUPPLIES:ITS Archiving Google Drive - Staff,"$2,087.50 ",,
BEAUMONT ISD,2019-2020,Gaggle,18162,2/25/20,Gaggle Safety Management for Google - Student (Email and Drive) Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605**,"$46,053 ",,
BEAUMONT ISD,2019-2020,Gaggle,18162,2/25/20,Gaggle Safety Management for Google Drive - Students,"$34,737.50 ",,
BEAUMONT ISD,2019-2020,Gaggle,18162,2/25/20,One Time Setup Fee Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item). **QUOTE #: 50605**,"$3,000 ",,
BEAUMONT ISD,2019-2020,Gaggle,18162,2/25/20,Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605** Professional Development Pricing Term: 12 Month Annual Service Term: 2019-10-01 - 2020-09-30 Contract End Date: 2022-09-30 Valid Through: 2019-10-31 (TX CTO discount applied to each line item) **QUOTE #: 50605**,"$4,995 ",Is posted on the district's website on the technology page.,
BIRDVILLE ISD,2019-2020,Go Guardian,23576,12/5/19,4159118 Go Guardian for Administrators 1 year license,$213 ,,
BIRDVILLE ISD,2019-2020,Go Guardian,23576,12/5/19,4159244 Go Guardian for Teachers 1 year license,$213 ,,
BOSQUEVILLE ISD,2019-2020,Go Guardian,739,2/19/20,Go Guardian Filter,"$1,800 ",,
BRAZOSPORT ISD,2018-2019,Go Guardian,12417,1/30/19,Go Guardian for teachers subscription license 1 yr 1-499,$636 ,,
BRAZOSPORT ISD,2018-2019,Social Sentinel,12417,9/27/18,Social Sentinel Command Center Software Services Annual Period 1 (8/1/18 to 7/31/19),"$18,500 ",,
BREMOND ISD,2016-2017,Go Guardian,470,2/3/17,Go Guardian Chromebook M,"$4,778.34 ",,
BRIDGE CITY ISD,2017-2018,Gaggle,2988,2/20/18,PO Created by Req: 783090,"$6,900 ",,
BRIDGE CITY ISD,2018-2019,Gaggle,3057,2/19/19,PO Created by Req: 793066,"$4,200 ",,
BRIDGE CITY ISD,2019-2020,Gaggle,3072,2/18/20,PO Created by Req: 703128,"$4,480 ",,
BRIDGEPORT ISD,2015-2016,Gaggle,2092,8/19/15,SAFETY MANAGEMENT,"$5,600 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BRIDGEPORT ISD,2016-2017,Gaggle,2088,4/28/17,12 MONTH GAGGLE SUBSCRIPTION SERVICE TERM 07/01/17 0 06/30/2018,"$4,410 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BRIDGEPORT ISD,2016-2017,Gaggle,2088,6/26/16,SAFETY MGMT FOR GOOGLE,"$4,200 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BRIDGEPORT ISD,2017-2018,Gaggle,2062,5/24/18,SOFTWARE LICENSE,"$6,475 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BRIDGEPORT ISD,2017-2018,Gaggle,2062,7/26/17,SAFETY MANAGEMENT EMAIL,"$1,750 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BRIDGEPORT ISD,2019-2020,Gaggle,2077,10/8/19,SOFTWARE LIC - GAGGLE,"$5,600 ",,View the full comment here: https://app.trint.com/public/a0499de8-7d9d-4343-a82c-e99fe13bbf21.
BROOKS COUNTY ISD,2017-2018,Gaggle,1589,1/30/18,Gaggle Safety Management Licen,$900 ,,
BROOKS COUNTY ISD,2017-2018,Gaggle,1589,10/26/17,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
BROOKS COUNTY ISD,2017-2018,Gaggle,1589,10/26/17,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
BROOKS COUNTY ISD,2017-2018,Gaggle,1589,10/26/17,GAGGLE SAFETY MANAGE- CHROMEBO,"$5,150 ",,
BROOKS COUNTY ISD,2018-2019,Gaggle,1568,11/2/18,GAGGLE SAFETY MANAGEMENT,"$1,500 ",,
BROOKS COUNTY ISD,2018-2019,Gaggle,1568,11/2/18,GAGGLE SAFETY MANAGEMENT,"$4,230 ",,
BROOKS COUNTY ISD,2018-2019,Gaggle,1568,11/2/18,GAGGLE SAFETY MANAGEMENT-,"$2,115 ",,
BROOKS COUNTY ISD,2019-2020,Gaggle,1506,10/30/19,PO Created by Req: 033170,"$7,095 ",,
BROWNFIELD ISD,2018-2019,Social Sentinel,1730,2/15/19,REGION 17 EDUCATION SERVICE CENTER ENROLLMENT - SOCIAL SENTINEL SOFTWARE,"$2,373.30 ",,
BROWNFIELD ISD,2019-2020,Social Sentinel,1671,2/11/20,REGION 17 EDUCATION SERVICE CENTER ENROLLMENT - SOCIAL SENTINEL SOFTWARE,"$2,373.30 ",,
BRUCEVILLE-EDDY ISD,2018-2019,Securly,645,12/13/18,Securly Anywhere Filtering 3 year subscription,"$3,154.50 ",,
BURLESON ISD,2019-2020,Social Sentinel,12810,7/15/19,ANNL-DATA-NE SOCIAL SENTINEL ANNUAL DATA FEE Coverage Dates: 01-AUG-2019 -,"$2,970 ",,
BURLESON ISD,2019-2020,Social Sentinel,12810,7/15/19,ANNL-SVC-NE SOCIAL SENTINEL ANNUAL SERVICE Coverage Dates: 01-AUG-2019 -,"$15,345 ",,
CADDO MILLS ISD,2019-2020,Go Guardian,1914,10/2/19,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
CADDO MILLS ISD,2019-2020,Go Guardian,1914,10/2/19,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
CADDO MILLS ISD,2019-2020,Go Guardian,1914,10/2/19,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
CADDO MILLS ISD,2019-2020,Go Guardian,1914,10/2/19,Go Guardian Renewal Go Guardian Renewal,"$2,493.75 ",,
CAMERON ISD,2018-2019,Social Sentinel,1783,12/10/18,SOCIAL SENTINEL,"$2,781 ",,
CARROLLTON-FARMERS BRANCH ISD,2016-2017,Gaggle,25276,6/6/17,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENTS,"$93,750 ",,
CARROLLTON-FARMERS BRANCH ISD,2016-2017,Securly,25276,7/12/16,Securly Anywhere Filtering - Screen Analytics for Social Media - Bullying/Self-Harm Sentiment Detection - Technical Support - Product Updates - Base Parent Portal Feature - Deployment assistance and training,"$16,200 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology?  The Safety and Security team and Counseling Department wanted to take a proactive, preventative approach to the overall wellness of students and keeping children safe. Gaggle is one of the providers of preventative services that allow districts to be alerted to written statements made by students which indicate they are at risk.   There was no specific instigating incident that made the team purchase technology.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Securely (sic) is used as a mobile device management platform. We utilize it to manage the application and settings on all district iPads, and provide teachers with a classroom management tool. They have the ability to lock student devices to either be disabled or restricted to a certain website during class. This functionality is disabled outside of school hours. Gaggle is utilized to monitor CFB issued student email or Google Drive accounts and send alerts based on certain types of content, such as pornography, or treats of violence or self-harm.    
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Yes. It continues to alert us to students at risk of imminent harm.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? All students only
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Designated staff monitor social media.  We also use Meltwater services as a monitoring device.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Yes. Notification of monitoring is in the CFBISD Student Responsible Technology Use Guidelines. Parents agree to this form when enrolling their student each year.  The only opt out available, is an opt out of using district technology altogether.
What policies did/do you have in place specifically governing the use of this technology by District officials? CQ (Local) and CQ (Legal) FFF (Legal and Local) FFEB (Legal)FFB (Legal)FFH (Legal and Local)Student Handbook (pages 46-47)
Who all has/had access to reports/alerts generated by this technology? Gaggle: The District Gaggle Team, a subgroup of the District Threat Assessment Team, as members of the Safe and Supportive Schools Program receive Gaggle alerts.  Processes are in place to coordinate the appropriate response based on the type of Gaggle alert and the content reported. 
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? There have been multiple incidents in which students at risk have been identified and imminent self-harm was avoided.  Incidents include letters with students saying good-bye to loved ones with plans to take one‚'s life, detailed plans of minors to run away and meet individuals they have met online, and plans to self-injure.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? Gaggle: We use this technology to manage the student accounts and data through filters programmed to check data against certain key words in order to identify possible signs of suicide ideation, self-harm, harm to others, signs of depression, exploitation, bullying, and inappropriate content that is in violation of the student use of technology agreement. This is in an effort to align the in-person school safety culture with the online learning environment.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. Students who are found in possession of inappropriate content on their district technology or accounts are referred to campus administrators for appropriate disciplinary procedures aligned with district policies."" - Dawn Parnell, Chief Communications Officer"
CARROLLTON-FARMERS BRANCH ISD,2016-2017,Gaggle,25276,8/9/16,Gaggle Safety Management for Google-Student 7/1/2016-6/30/2017 Service Dates,"$93,750 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology?  The Safety and Security team and Counseling Department wanted to take a proactive, preventative approach to the overall wellness of students and keeping children safe. Gaggle is one of the providers of preventative services that allow districts to be alerted to written statements made by students which indicate they are at risk.   There was no specific instigating incident that made the team purchase technology.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Securely (sic) is used as a mobile device management platform. We utilize it to manage the application and settings on all district iPads, and provide teachers with a classroom management tool. They have the ability to lock student devices to either be disabled or restricted to a certain website during class. This functionality is disabled outside of school hours. Gaggle is utilized to monitor CFB issued student email or Google Drive accounts and send alerts based on certain types of content, such as pornography, or treats of violence or self-harm.    
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Yes. It continues to alert us to students at risk of imminent harm.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? All students only
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Designated staff monitor social media.  We also use Meltwater services as a monitoring device.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Yes. Notification of monitoring is in the CFBISD Student Responsible Technology Use Guidelines. Parents agree to this form when enrolling their student each year.  The only opt out available, is an opt out of using district technology altogether.
What policies did/do you have in place specifically governing the use of this technology by District officials? CQ (Local) and CQ (Legal) FFF (Legal and Local) FFEB (Legal)FFB (Legal)FFH (Legal and Local)Student Handbook (pages 46-47)
Who all has/had access to reports/alerts generated by this technology? Gaggle: The District Gaggle Team, a subgroup of the District Threat Assessment Team, as members of the Safe and Supportive Schools Program receive Gaggle alerts.  Processes are in place to coordinate the appropriate response based on the type of Gaggle alert and the content reported. 
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? There have been multiple incidents in which students at risk have been identified and imminent self-harm was avoided.  Incidents include letters with students saying good-bye to loved ones with plans to take one‚'s life, detailed plans of minors to run away and meet individuals they have met online, and plans to self-injure.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? Gaggle: We use this technology to manage the student accounts and data through filters programmed to check data against certain key words in order to identify possible signs of suicide ideation, self-harm, harm to others, signs of depression, exploitation, bullying, and inappropriate content that is in violation of the student use of technology agreement. This is in an effort to align the in-person school safety culture with the online learning environment.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. Students who are found in possession of inappropriate content on their district technology or accounts are referred to campus administrators for appropriate disciplinary procedures aligned with district policies."" - Dawn Parnell, Chief Communications Officer"
CARROLLTON-FARMERS BRANCH ISD,2018-2019,Gaggle,25598,6/19/18,GAGGLE SAFETY MANAGEMENT FOR GOOGLE - STUDENT (DRIVE + EMAIL) GAGGLE SAFETY MANAGEMENT FOR CANVAS ONE TIME SETUP FEE (CANVAS),"$93,750 ",,"""Why did the District purchase this technology? Who recommended it to you? What, if any, instigating incident was there that made you purchase this technology?  The Safety and Security team and Counseling Department wanted to take a proactive, preventative approach to the overall wellness of students and keeping children safe. Gaggle is one of the providers of preventative services that allow districts to be alerted to written statements made by students which indicate they are at risk.   There was no specific instigating incident that made the team purchase technology.
What exactly does/did this technology do for the District? (Ie. social media monitoring, email monitoring, web filter, Chromebook management, web history tracking, location tracking etc. Please include all functionality your district has access to with these technologies.) Securely (sic) is used as a mobile device management platform. We utilize it to manage the application and settings on all district iPads, and provide teachers with a classroom management tool. They have the ability to lock student devices to either be disabled or restricted to a certain website during class. This functionality is disabled outside of school hours. Gaggle is utilized to monitor CFB issued student email or Google Drive accounts and send alerts based on certain types of content, such as pornography, or treats of violence or self-harm.    
Do you still use this technology? If not, why did you stop? If so, why is it still worth it? Yes. It continues to alert us to students at risk of imminent harm.
Is this technology used on all students in the District or just a certain subset? Is it used on any employees or community members? All students only
Did/does/will the District use any other technology tool (ie. Social Sentinel, Gaggle, Securly, Go Guardian, Geofeedia, Media Sonar, LightSpeed Relay etc.) for the purpose of monitoring students' social media or email? Designated staff monitor social media.  We also use Meltwater services as a monitoring device.
Were students or their parents ever notified or informed in any way about the use of this technology? If so, how? Could students or parents ""opt-out""? Yes. Notification of monitoring is in the CFBISD Student Responsible Technology Use Guidelines. Parents agree to this form when enrolling their student each year.  The only opt out available, is an opt out of using district technology altogether.
What policies did/do you have in place specifically governing the use of this technology by District officials? CQ (Local) and CQ (Legal) FFF (Legal and Local) FFEB (Legal)FFB (Legal)FFH (Legal and Local)Student Handbook (pages 46-47)
Who all has/had access to reports/alerts generated by this technology? Gaggle: The District Gaggle Team, a subgroup of the District Threat Assessment Team, as members of the Safe and Supportive Schools Program receive Gaggle alerts.  Processes are in place to coordinate the appropriate response based on the type of Gaggle alert and the content reported. 
Can you name a specific instance where this technology helped prevent an instance of imminent violence or self-harm? There have been multiple incidents in which students at risk have been identified and imminent self-harm was avoided.  Incidents include letters with students saying good-bye to loved ones with plans to take one‚'s life, detailed plans of minors to run away and meet individuals they have met online, and plans to self-injure.  
Have you ever used this technology for purposes other than the prevention of self-harm or violence? If so, how? Gaggle: We use this technology to manage the student accounts and data through filters programmed to check data against certain key words in order to identify possible signs of suicide ideation, self-harm, harm to others, signs of depression, exploitation, bullying, and inappropriate content that is in violation of the student use of technology agreement. This is in an effort to align the in-person school safety culture with the online learning environment.
Has the use of this technology ever led to a student being disciplined in any way (including but not limited to being arrested, expelled, suspended or put in detention)? If so, please describe these specific instances. Students who are found in possession of inappropriate content on their district technology or accounts are referred to campus administrators for appropriate disciplinary procedures aligned with district policies."" - Dawn Parnell, Chief Communications Officer"
